,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
347,0,1,57.42688751,-1,321.7974263,-1,39,21.54439163,60.11415529,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
348,1,21,79.00538635,-1,397.767605,-1,100,0.000117063,184.4360645,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
349,2,41,84.01872253,-1,26.58414322,-1,100,0,310.2862668,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
350,3,61,84.67307281,-1,16.04311719,-1,100,4.64E-07,432.1490834,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
351,4,81,84.82408142,-1,15.27349628,-1,100,0.002522946,547.3282194,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
352,5,100,84.84924316,-1,14.93088832,-1,100,0,657.0587976,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
353,0,1,57.42688751,-1,204.6429157,-1,39,22.36102295,61.85515618,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
354,1,21,55.51920319,-1,2473.233464,-1,99,0.036055893,180.9282737,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
355,2,41,74.78733826,-1,48.80187969,-1,100,0.000132679,302.7389317,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
356,3,61,79.14128876,-1,20.46991808,-1,100,0.000216336,421.6142173,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
357,4,81,79.42819977,-1,19.49457083,-1,100,7.94E-05,542.600348,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
358,5,100,79.51879883,-1,18.79730616,-1,100,0.000187349,659.35478,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
399,0,1,42.69894791,-1,43609.34016,-1,77.375,16.99811921,70.63928938,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
400,1,21,94.03030396,-1,0.16738245,-1,97.5625,0.081592209,316.3487451,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
401,2,41,94.1913681,-1,0.174457722,-1,99.5625,0.029806949,559.4584565,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
402,3,61,94.25177002,-1,0.172605266,-1,99.5625,0.028215607,808.2647173,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
403,4,81,94.27693939,-1,0.172285859,-1,99.5625,0.027514564,1051.111888,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
404,5,100,94.32224274,-1,0.17261293,-1,99.375,0.029365859,1293.313277,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
405,0,1,47.09317017,-1,14341.81729,-1,75.375,19.10682011,64.16423273,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
406,1,21,92.35415649,-1,0.211130311,-1,95.6875,0.115180164,292.1437654,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
407,2,41,92.92293549,-1,0.202837327,-1,98.8125,0.049744403,523.5758624,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
408,3,61,92.97327423,-1,0.209652398,-1,99.0625,0.044899689,746.7102721,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
409,4,81,92.97327423,-1,0.21154219,-1,99.0625,0.043660345,969.69052,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
410,5,100,93.01856995,-1,0.212204978,-1,99.25,0.043180256,1184.281502,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
417,0,1,42.57311249,-1,1057657.532,-1,47,40.71581818,61.08178926,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
418,1,21,85.76030731,-1,5.133367508,-1,97.5,0.06009638,186.0941126,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
419,2,41,89.26360321,-1,1.298471998,-1,99,0.016733349,314.8828502,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
420,3,61,89.3491745,-1,1.329967751,-1,99,0.028994994,441.8957553,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
421,4,81,89.3441391,-1,1.331354346,-1,100,0.015790852,570.1402128,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
422,5,100,89.35923767,-1,1.335356154,-1,99,0.013927164,690.7959051,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
423,0,1,42.57311249,-1,337768.2281,-1,47,41.71929321,60.90029669,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
424,1,21,81.23521423,-1,8.178567731,-1,97.5,0.073778858,189.5348327,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
425,2,41,86.6965332,-1,1.58706494,-1,99,0.02143698,315.9583914,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
