,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,1,10.0,-1.0,13453470.9216,-1.0,16.125,92.64729614257810,69.83589601516720,e5125b6d-0112-4f8d-b44b-5d53cc4db188,0.0,kmnist,800,3,20100000
1,21,64.5,-1.0,1.4136318424224900,-1.0,96.25,0.14707997679710400,281.0088851451870,e5125b6d-0112-4f8d-b44b-5d53cc4db188,0.0,kmnist,800,3,20100000
2,41,68.36000061035160,-1.0,1.2779708265304600,-1.0,100.0,0.02374167859554290,491.88033986091600,e5125b6d-0112-4f8d-b44b-5d53cc4db188,0.0,kmnist,800,3,20100000
3,61,68.52999877929690,-1.0,1.2573825777053800,-1.0,99.875,0.02541933238506320,702.6339282989500,e5125b6d-0112-4f8d-b44b-5d53cc4db188,0.0,kmnist,800,3,20100000
4,81,68.43000030517580,-1.0,1.2641298864364600,-1.0,100.0,0.020409205555915800,913.1618537902830,e5125b6d-0112-4f8d-b44b-5d53cc4db188,0.0,kmnist,800,3,20100000
5,100,68.52999877929690,-1.0,1.2625036100387600,-1.0,100.0,0.020766450464725500,1116.5930526256600,e5125b6d-0112-4f8d-b44b-5d53cc4db188,0.0,kmnist,800,3,20100000
0,1,10.0,-1.0,1330495894.1184,-1.0,21.5,63.24387054443360,84.43643426895140,ae7f572f-60bd-43af-8b77-f2d5da5f0bef,0.0,kmnist,400,3,20100000
1,21,49.98999786376950,-1.0,2.9383218635559100,-1.0,94.0,0.3201388645172120,262.88407588005100,ae7f572f-60bd-43af-8b77-f2d5da5f0bef,0.0,kmnist,400,3,20100000
2,41,56.459999084472700,-1.0,2.418209231185910,-1.0,99.75,0.025755536556243900,441.1551127433780,ae7f572f-60bd-43af-8b77-f2d5da5f0bef,0.0,kmnist,400,3,20100000
3,61,57.04999923706060,-1.0,2.4075007476806600,-1.0,100.0,0.01665420413017270,619.7716975212100,ae7f572f-60bd-43af-8b77-f2d5da5f0bef,0.0,kmnist,400,3,20100000
4,81,57.37999725341800,-1.0,2.3768177421569800,-1.0,99.75,0.016776139736175500,798.8934934139250,ae7f572f-60bd-43af-8b77-f2d5da5f0bef,0.0,kmnist,400,3,20100000
5,100,57.22999954223630,-1.0,2.3460340938568100,-1.0,100.0,0.014724258184433000,972.4278907775880,ae7f572f-60bd-43af-8b77-f2d5da5f0bef,0.0,kmnist,400,3,20100000
0,1,10.0,-1.0,1438054.4228,-1.0,34.75,25.822809677124000,70.91086316108700,8cba405d-a380-435a-8ea4-aeae74112c8b,3.0,kmnist,800,3,20100000
1,21,76.08999633789060,-1.0,1.0292691876411400,-1.0,99.875,0.028380622267723100,285.09351539611800,8cba405d-a380-435a-8ea4-aeae74112c8b,3.0,kmnist,800,3,20100000
2,41,77.04000091552730,-1.0,1.0407521021843000,-1.0,100.0,0.005891165733337400,499.7550013065340,8cba405d-a380-435a-8ea4-aeae74112c8b,3.0,kmnist,800,3,20100000
3,61,77.1199951171875,-1.0,0.9981442842245100,-1.0,100.0,0.006237187385559080,714.2220048904420,8cba405d-a380-435a-8ea4-aeae74112c8b,3.0,kmnist,800,3,20100000
4,81,77.19999694824220,-1.0,1.000788018321990,-1.0,99.875,0.00840205192565918,929.8399474620820,8cba405d-a380-435a-8ea4-aeae74112c8b,3.0,kmnist,800,3,20100000
5,100,77.15999603271480,-1.0,1.0160926134109500,-1.0,100.0,0.005107147693634030,1137.4090139865900,8cba405d-a380-435a-8ea4-aeae74112c8b,3.0,kmnist,800,3,20100000
